数据分类,配件类别,产品系列,物料名称,物料代码,物料描述,备注,标签,标识,IMG
配件,电源,电源适配器(圆头),ADS-26FSG-12 12024EPCN(圆头)(全球通中性),310101855,"适配器,ADS-26FSG-12 12024EPCN,国标,12V2A,Φ2.1",,PwID,0,ADS-26FSG
配件,电源,电源适配器(圆头),ADS-26FSG-12 12024EPCN,101700736,"适配器,ADS-26FSG-12 12024EPCN,国标,12V2A,Φ2.1",,PwIH,1,ADS-26FSG
配件,电源,电源适配器(圆头),ADS-25FSG-19 24024EPCN,101702114,"适配器,ADS-26FSG-12 12024EPCN,国标,12V2A,Φ2.1",,PwMED,1,ADS-26FSG
配件,电源,充电头,PDA适配器,101701998,"(新)适配器,DYS05200CQ-A,AC100-240V,5V2A,国标,V,USB,白色",,PwIP,1,
配件,电源,电源适配器,KPL-060M-II,101701011,"24V2.5A,60W,Φ2.1,无地线",,Pw24,1,KPL-060M
配件,电源,电源适配器线缆,"交流电源线,国标,弯三插转C13",101500844,"AC Cable,CCC,PHP304RB  to C13,1.5m,BK",,Pw24,1,KPL-AC
配件,电源,电源适配器,KPL-060M-VI(全球通中性),310100901,"桌面式适配器,24V2.5A,60W,1.2m,open两线",桌面式适配器，需要额外选配AC电源线,Power,0,KPL-060M
配件,电源,电源适配器线缆,交流电源线_国标_弯三插_C13_1.2米,310100840,交流电源线_国标_弯三插_C13_1.2米(中性),搭配适配器应用,Power,0,KPL-AC
配件,电源,开关电源,ERPF-400-48,101701338,"开关电源,AC100-240V,48V8.3A,400W",,Pw48,1,LRS-150
配件,电源,开关电源线缆,"交流电源线,国标,弯三插转Open,2m",101500762,"交流电源线,国标,弯三插转Open,2m,黑",,Pw48,1,LRS-AC
配件,电源,开关电源1,LRS-50-24(全球通中性),310100905,"开关电源,24V2.09A,50W,接线端子",开关电源1，需要额外选配AC电源线,Power,0,LRS-50
配件,电源,开关电源2,LRS-150F-24(全球通中性),310100904,"开关电源,24V6.25A,150W,接线端子",开关电源2，需要额外选配AC电源线,Power,0,LRS-150
配件,电源,开关电源线缆,交流电源线_国标_弯三插_open_2米,310100843,交流电源线_国标_弯三插_open_2米(中性),搭配开关电源应用,Power,0,LRS-AC
配件,安装板,安装板,L型安装板M3孔,190193441,适配ID2013EM、ID800M使用，L型，相机孔位M3,,Braket8E,0,Braket8E
配件,安装板,安装板,L型安装板M3孔,190193441,适配ID2000M长焦款，L型，相机孔位M3,,Braket2L,1,Braket8E
配件,安装板,安装板,L型安装板M2孔,190171821,V035-安装支架，适配ID2000M除长焦型号外所有型号，L型，相机孔位M2,,Braket2M,1,Braket8E
配件,安装板,安装板,ID2000XM安装板,192139550,V-读码器027-安装支架，适配ID2000XM,,Braket2X,1,Braket2X
配件,安装板,安装板,ID3000PM安装板,190162231,V020-安装支架，适配ID3000PM,,Braket3P,1,Braket3P
配件,安装板,安装板,ID3000XM安装板,192107657,V-读码器018-支架，适配ID3000XM/ID3000RM,,Braket3X,1,Braket3X
配件,安装板,安装板,ID5000M安装板,190162212,V024-安装支架，适配ID5000M安装板,,Braket5M,0,Braket5M
配件,安装板,安装板,ID5000XM安装板,192119847,V-读码器023-安装支架，适配ID5000XM/RM,,Braket5X,1,Braket5X
配件,安装板,安装板,ID6000安装板,190113950,ID6000系列智能读码器，单独可调角度相机固定支架,,Braket6,0,Braket6
配件,安装板,安装板,ID7000安装板,190188755,V-读码器012-安装支架-黑单独可调角度相机固定支架，适配ID7000系列,,Braket7,1,Braket7
配件,安装板,IDS安装板,智能套件安装板,190161171,V903-支架-B，读码套件安装板,,BraketS,1,BraketS
配件,一体线,1m充电线,USB/AM to USB/CM,101527067,"USB2.0线缆,USB/AM转USB/CM,1000mm,海康白",,IDP-U,1,
配件,一体线,2m普通U口,USB/AM to GH5,101515459,"外部转接线-USB,USB/AM转GH5,3m,黑",硬解模组USB型号出厂自带标配线缆,ID1013-U,1,
配件,一体线,2m普通U口,10P10C转OPEN+USB-AM,101523961,"10P10C转OPEN+USB-AM,2m,黑色,弯折半径：12D；线缆特性：弯折30W次，运动速度30次/分",,10P10C-U,1,10P10C-U
配件,一体线,1.5m普通串口,"10P10C转OPEN+DB9F(DC-J),1.5m",101523962,"10P10C转OPEN+DB9F(DC-J),1.5m,黑色,弯折半径：12D；线缆特性：弯折30W次，运动速度30次/分",,10P10C-R,1,10P10C-R
配件,一体线,2m普通组合,"10P10C转OPEN+DB9F(DC-J)+USB-AM,2m",101524790,"10P10C转OPEN+DB9F(DC-J)+USB-AM,2m,黑,弯折半径：12D；线缆特性：弯折30W次，运动速度30次/分",订单中备注：删除：101523961，添加：101524790,10P10C-U,0,10P10C-UR
配件,一体线,2m普通组合,"10P10C转OPEN+DB9F(DC-J)+USB-AM,2m",101524790,"10P10C转OPEN+DB9F(DC-J)+USB-AM,2m,黑,弯折半径：12D；线缆特性：弯折30W次，运动速度30次/分",订单中备注：删除：101523962，添加：101524790,10P10C-R,0,10P10C-UR
配件,一体线,3m普通网口公头,MV-IDAPE-DB15M-DB9FRJ45OPEN-ST-3m,310102618,DB15转散线DB9母头网口公头，3米，弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V2.0,,DB15M-L-V20,1,DB15M-L-V20
配件,一体线,5m普通网口公头,MV-IDAPE-DB15M-DB9FRJ45OPEN-ST-5m,310102619,DB15转散线DB9母头网口公头，5米，弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V2.0,若ID2013EM V2.0网口出货配置为5m普通网口公头，订单中备注：删除：310102618，添加：310102619,DB15M-L-V20,0,DB15M-L-V20
配件,一体线,7m普通网口公头,MV-IDAPE-DB15M-DB9FRJ45OPEN-ST-7m,310102620,DB15转散线DB9母头网口公头，7米，弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V2.0,ID2013EM V2.0≥7m线缆无法配置下单，须订单备注删除：310102618，再额外下单！,DB15M-L-V20,0,DB15M-L-V20
配件,一体线,10m普通网口公头,MV-IDAPE-DB15M-DB9FRJ45OPEN-ST-10m,310102621,DB15转散线DB9母头网口公头，10米，弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V2.0,ID2013EM V2.0≥7m线缆无法配置下单，须订单备注删除：310102618，再额外下单！,DB15M-L-V20,0,DB15M-L-V20
配件,一体线,5m高柔网口公头,MV-IDAPE-DB15M-DB9FRJ45OPEN-HF-5m,310102622,DB15转散线DB9母头网口公头，5米，弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分，适配ID2013EM V2.0,若ID2013EM V2.0网口出货配置为5m高柔网口公头，订单中备注：删除：310102618，添加：310102622,DB15M-L-V20,0,DB15M-L-V20
配件,一体线,7m高柔网口公头,MV-IDAPE-DB15M-DB9FRJ45OPEN-HF-7m,310102623,DB15转散线DB9母头网口公头，7米，弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分，适配ID2013EM V2.0,ID2013EM V2.0≥7m线缆无法配置下单，须订单备注删除：310102618，再额外下单！,DB15M-L-V20,0,DB15M-L-V20
配件,一体线,10m高柔网口公头,MV-IDAPE-DB15M-DB9FRJ45OPEN-HF-10m,310102624,DB15转散线DB9母头网口公头，10米弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分，适配ID2013EM V2.0,ID2013EM V2.0≥7m线缆无法配置下单，须订单备注删除：310102618，再额外下单！,DB15M-L-V20,0,DB15M-L-V20
配件,一体线,2m普通U口,MV-IDAPE-DB15M-USB--ST-2m,310102616,DB15转USB，2米，弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V2.0,,DB15M-U-V20,1,DB15M-U-V20
配件,一体线,2m普通组合U口,MV-IDAPE-DB15M-USBDB9FOPEN--ST-2m,310102617,DB15转散线DB9母头USB，2米，弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V2.0,若ID2013EM V2.0U口出货配置为2m普通组合U口，订单中备注：删除：310102616，添加：310102617,DB15M-U-V20,0,DB15M-UR-V20
配件,一体线,3.5m普通网口公头,MV-ACE-RJ45-DB9-ST-3.5m,101518612,"DB15M转TB3B6S+DB9(DC JACK)+RJ45/M,3.5m,黑,弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V1.5",适用于ID2013EM V1.5网口型号,DB15M-L-V15,1,DB15M-L-V15
配件,一体线,3.5m普通网口母头,MV-ID-E-RJ45F-open-ST-3.5m,310102107,"DB15M转TB3B6S+DB9F(DC JACK)+RJ45/F,3.5m,黑,弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V1.5",若ID2013EM V1.5网口出货配置为3.5m母头普通线缆，订单中备注：删除：101518612，添加：310102107,DB15M-L-V15,0,DB15M-LF-V15
配件,一体线,5m普通网口公头,MV-IDA-PE-HDB15-RJ45DB9Open-ST-5m,310102108,DB15转RJ45公头DB9open，5米，弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V1.5,若ID2013EM V1.5网口出货配置为5m普通线缆，订单中备注：删除：101518612，添加：310102108,DB15M-L-V15,0,DB15M-L-V15
配件,一体线,15m普通网口公头,MV-IDA-PE-HDB15-RJ45DB9Open-ST-15m,310102106,DB15转RJ45公头DB9open，15米，弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V1.5,ID2013EM V1.5≥7m线缆无法配置下单，须订单备注删除：101518612，再额外下单！,DB15M-L-V15,0,DB15M-L-V15
配件,一体线,3.5m高柔网口公头,MV-IDA-PE-HDB15-RJ45DB9Open-ST-3.5m,101525618,"DB15M转RJ45_M+DB9F+TB3B6P,5m,黑，弯折半径：12D，线缆特性：拖链500W次，运动速度60次/分，适配ID2013EM V1.5",若ID2013EM V1.5网口出货配置为3.5m高柔线缆，订单中备注：删除：101518612，添加：101525618,DB15M-L-V15,0,DB15M-L-V15
配件,一体线,5m高柔网口公头,MV-IDA-PE-HDB15-RJ45DB9Open-HF-5m,310102109,"DB15转RJ45公头DB9open,5米,高柔,拖链场景弯折半径：12D，线缆特性：拖链500W次，运动速度60次/分，适配ID2013EM V1.5",若ID2013EM V1.5网口出货配置为5m高柔线缆，订单中备注：删除：101518612，添加：310102109,DB15M-L-V15,0,DB15M-L-V15
配件,一体线,2m普通U口,"HDB15M转USB2.0,2m",101517381,"外部转接线_ID2013E,HDB15M转USB2.0,2m,黑,弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V1.5",,DB15M-U-V15,1,DB15M-U-V15
配件,一体线,2.5m普通组合U口,MV-ACP-DB9-USB2.0-ST-2.5m,101519155,"DB15M转TB3B6S+DB9(DC JACK)+USB2.0A/M,2.5m,黑 ,弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V1.5",若ID2013EM V1.5U口出货配置为2.5m普通组合线缆，订单中备注：删除：101517381，添加：101519155,DB15M-U-V15,0,DB15M-UR-V15
配件,一体线,2.5m普通全功能,MV-ACP-RJ45-DB9-USB2.0-ST-2.5m,310102103,"DB15M转TB3B6S+DB9(DC JACK)+RJ45/M+USB/AM,2.5m,黑,弯折半径：12D；线缆特性：静态铺设，适配ID2013EM V1.5",若ID2013EM V1.5U口出货配置为2.5m全功能线缆，订单中备注：删除：101517381，添加：310102103,DB15M-U-V15,0,DB15M-LUR-V15
配件,一体线,2m普通单U口,ID2000对外尾线-USB版,101515363,"ID2000对外尾线-USB版,USB2.0 A/M转M12A17F,2m,线缆特性：拖链200W次，运动速度60次/分，弯折半径：12D；",,M12A17-U,1,M12A17-U
配件,一体线,2m普通单U口,MV-IDAPE-M12A17F-U2DC-ST-2m,310102959,17pin航插头转USB2.0+DC圆孔供电，2米静态线缆，线缆特性：静态铺设，弯折半径：12D,推荐搭配DC圆头适配器：310101855,M12A17-U,0,M12A17-UDC
配件,一体线,2m普通组合U口,MV-IDA-PE-M12A17pF-openU2DB9-ST-2m,310101295,17pin航插头转8pin端子+USB2.0+DB9，2米静态线缆，线缆特性：静态铺设，弯折半径：12D；,U口型号出货配置为2m普通组合线缆，订单中备注：删除：101515363，添加：310101295,M12A17-U,0,M12A17-UR
配件,一体线,2m高柔组合U口,MV-IDA-PE-M12A17pF-openU2DB9-HF-2m,310101297,17pin航插头转8pin端子+USB2.0+DB9，3米高柔线缆，线缆特性：拖链500W次，运动速度60次/分，弯折半径：12D；,U口型号出货配置为2m高柔组合线缆，订单中备注：删除：101515363，添加：310101297,M12A17-U,0,M12A17-UR
配件,一体线,3m普通网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-ST-3m,310101292,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,静态3米线缆，弯折半径：12D；线缆特性：静态铺设",,M12A17-L,1,M12A17-L
配件,一体线,5m普通网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-ST-5m,310101293,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,静态5米线缆，弯折半径：12D；线缆特性：静态铺设",网口型号出货配置为5m普通线缆，订单中备注：删除：310101292，添加：310101293,M12A17-L,0,M12A17-L
配件,一体线,7m普通网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-ST-7m,310101873,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,静态7米线缆，弯折半径：12D；线缆特性：静态铺设",≥7m线缆无法配置下单，订单备注删除：310101292，再额外下单！,M12A17-L,0,M12A17-L
配件,一体线,10m普通网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-ST-10m,310101294,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,静态10米线缆，弯折半径：12D；线缆特性：静态铺设",≥7m线缆无法配置下单，订单备注删除：310101292，再额外下单！,M12A17-L,0,M12A17-L
配件,一体线,15m普通网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-ST-15m,310101310,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,静态15米线缆，弯折半径：12D；线缆特性：静态铺设",≥7m线缆无法配置下单，订单备注删除：310101292，再额外下单！,M12A17-L,0,M12A17-L
配件,一体线,3m高柔网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-HF-3m,310101296,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,高柔3米线缆，弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分",若网口型号出货配置为3m高柔线缆，订单中备注：删除：310101292，添加：310101296,M12A17-L,0,M12A17-L
配件,一体线,5m高柔网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-HF-5m,310102637,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,高柔5米线缆，弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分",若网口型号出货配置为5m高柔线缆，订单中备注：删除：310101292，添加：310102637,M12A17-L,0,M12A17-L
配件,一体线,5m超柔网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-SF-5m,310101876,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,超柔5米线缆，弯折半径：12D线缆特性：拖链1000W次，运动速度60次/分，弯折300W次，速度30次/分；扭转500W次，速度30次/分",若网口型号出货配置为5m超柔线缆，订单中备注：删除：310101292，添加：310101876,M12A17-L,0,M12A17-L
配件,一体线,7m超柔网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-SF-7m,310103217,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,超柔7米线缆，弯折半径：12D线缆特性：拖链1000W次，运动速度60次/分，弯折300W次，速度30次/分；扭转500W次，速度30次/分",≥7m线缆无法配置下单，订单备注删除：310101292，再额外下单！,M12A17-L,0,M12A17-L
配件,一体线,7m高柔网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-HF-7m,310101874,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,高柔7米线缆，弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分",≥7m线缆无法配置下单，订单备注删除：310101292，再额外下单！,M12A17-L,0,M12A17-L
配件,一体线,10m高柔网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-HF-10m,310101875,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,高柔10米线缆，弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分",≥7m线缆无法配置下单，订单备注删除：310101292，再额外下单！,M12A17-L,0,M12A17-L
配件,一体线,15m高柔网口公头,MV-IDA-PE-M12A17pF-openRJ45DB9-HF-15m,310101307,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,高柔15米线缆，弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分",≥7m线缆无法配置下单，订单备注删除：310101292，再额外下单！,M12A17-L,0,M12A17-L
配件,一体线,3m普通弯头网口公头,MV-IDA-PE-M12A17pFUP-openRJ45DB9-ST-3m,310101869,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,静态3米直角线缆,弯折半径：12D；线缆特性：静态铺设",若网口型号出货配置为3m弯头普通线缆，订单中备注：删除：310101292，添加：310101869,M12A17-L,0,M12A17-LP
配件,一体线,5m普通弯头网口母头,MV-IDA-PE-M12A17pFUP-openRJ45FDB9-ST-5m,310101877,"17pin航插头转open绿色端子/RJ45公头/DB9,网口母头,静态5米直角线缆,弯折半径：12D；线缆特性：静态铺设",若网口型号出货配置为5m弯头普通线缆，订单中备注：删除：310101292，添加：310101877,M12A17-L,0,M12A17-LP
配件,一体线,10m普通弯头网口公头,MV-IDA-PE-M12A17pFUP-openRJ45DB9-ST-10m,310101878,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,静态10米直角线缆,弯折半径：12D；线缆特性：静态铺设",≥7m线缆无法配置下单，订单备注删除：310101292，再额外下单！,M12A17-L,0,M12A17-LP
配件,一体线,3m高柔弯头网口公头,MV-IDA-PE-M12A17pFUP-openRJ45DB9-HF-3m,310101870,"17pin航插头转open绿色端子/RJ45公头/DB9,网口公头,高柔3米直角线缆,弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分",若网口型号出货配置为3m弯头高柔线缆，订单中备注：删除：310101292，添加：310101870,M12A17-L,0,M12A17-LP
配件,一体线,3m普通网口母头,MV-IDA-PE-M12A17pF-openRJ45FDB9-ST-3m,310101871,"17pin航插头转open绿色端子/RJ45母头/DB9,网口母头,静态3米线缆,弯折半径：12D；线缆特性：静态铺设",若网口型号出货配置为3m普通母头，订单中备注：删除：310101292，添加：310101871,M12A17-L,0,M12A17-LF
配件,一体线,3m高柔网口母头,MV-IDA-PE-M12A17pF-openRJ45FDB9-HF-3m,310101872,"17pin航插头转open绿色端子/RJ45母头/DB9,网口母头,高柔3米线缆,弯折半径：12D；线缆特性：拖链500W次，运动速度60次/分",若网口型号出货配置为3m高柔母头，订单中备注：删除：310101292，添加：310101872,M12A17-L,0,M12A17-LF
配件,一体线,1.5m普通U口,"USB3-AM转USB-CM,1.5m",101523176,"转接线-USB,USB3-AM转USB-CM,1.5m,黑",,MED-U,1,MED-U
配件,一体线,3m普通U口,"USB3-AM转USB-CM,3m",101530003,"转接线-USB,USB3-AM转USB-CM,3m,黑",若一体机或套包出货配置为3m带锁扣Type-C线缆，订单中备注：删除：101523176，添加：101530003,MED-U,0,MED-U
配件,一体线,ID2000有线-2mU口线缆,MV-IDA-H20-N-S-RJ45-U-BR-2m,310102793,"外甩线_四代把枪U口尾线,RJ45-M转USB-AM,2m,黑(带防弹丝)",,H20-U,1,H20-U
配件,一体线,ID2000有线-3mU口线缆,MV-IDA-H20-N-S-RJ45-U-BR-3m,310102984,IDH2000有线型号单U口线缆3米,若ID2000有线款出货配置为3mU口线缆，订单中备注：删除：310102793，添加：310102984,H20-U,0,H20-U
配件,一体线,ID2000有线-2m串口线缆,MV-IDA-H20-P-S-RJ45-RN-BR-2m,310102794,"外甩线_四代把枪串口尾线,2m,黑(带防弹丝)",若ID2000有线款出货配置为2m串口线缆，订单中备注：删除：310102793，添加：310102794,H20-U,0,H20-R
配件,一体线,ID2000有线-3m串口线缆,MV-IDA-H20-P-S-RJ45-RN-BR-3m,310102985,"IDH2000有线型号单串口线缆3米,12V供电",若ID2000有线款出货配置为3m串口线缆，订单中备注：删除：310102793，添加：310102985,H20-U,0,H20-R
配件,一体线,ID2000有线-2m组合线缆,MV-IDA-H20-P-S-RJ45-RNU-BR-2m,310102795,"外甩线_四代把枪串口尾线,2m,黑(带防弹丝)，5V供电",若ID2000有线款出货配置为2m组合线缆，订单中备注：删除：310102793，添加：310102795,H20-U,0,H20-UR
配件,一体线,ID2000有线-5m网口线缆,MV-IDA-H20-P-S-RJ45-E-BR-5m,310102982,IDH2000有线型号单网口线缆5米,若ID2000有线款出货配置为5m网口线缆，订单中备注：删除：310102793，添加：310102982,H20-U,0,
配件,一体线,ID2000无线-2mU口线缆,MV-IDA-H20B-N-S-USBB-U-ST-2m,310102797,Type-B充电线缆,,H20B-U,1,H20B-U
配件,一体线,ID3000有线-2.5mU口线缆,MV-IDA-H30-P-S-RJ45-U-BR-2.5m,310102796,外甩线_三代把枪U口尾线2.5m黑色旋盖,,H30-U,1,H30-U
配件,一体线,ID3000有线-2.5m组合线缆,MV-IDA-H30-P-S-RJ45-RNU-BR-2.5m,310102798,"外甩线_三代把枪USB+串口尾线,2.5m,黑色旋盖",若ID3000有线款USB型号出货配置为2.5m复合线缆，订单中备注：删除：310102796，添加：310102798,H30-U,0,H30-UR
配件,一体线,ID3000有线-3m网口线缆,MV-IDA-H30-P-S-RJ45-RNE-BR-3m,310102800,"外甩线_三代把枪网口+串口尾线,3m,黑色旋盖",,H30-L,1,H30-LUR
配件,一体线,ID3000有线-2m串口线缆,MV-IDA-H30-P-S-RJ45-RN-BR-2m,310102799,"外甩线_三代把枪_单串口尾线,黑色旋盖,2m,黑",若ID3000有线款网口型号出货配置为2m串口线缆，订单中备注：删除：310102800，添加：310102799,H30-L,0,H30-R
配件,一体线,ID3000有线-5m网口线缆,MV-IDA-H30-P-C-RJ45-RNE-BR-5m,310102500,外甩线_三代把枪网口+串口弹簧线，5m,若ID3000有线款网口型号出货配置为5m网口/串口线缆，订单中备注：删除：310102800，添加：310102500,H30-L,0,H30-C-UR
配件,一体线,ID3000无线-2.5mU口线缆,MV-IDA-H30B-N-S-RJ45-U-BR-2.5m,310102801,"外甩线_三代把枪底座U口线缆,2.5m,黑",,H30B-U,1,H30B-U
配件,一体线,ID3000无线-3m网口线缆,MV-IDA-H30B-N-S-RJ45-RNE-BR-3m,310102802,"外甩线_三代把枪底座网口线缆,10P10C转RJ45/M+DB9F,3m,黑",,H30B-U,1,H30B-LR
配件,一体线,ID3000无线-15m网口线缆,MV-IDA-H30B-N-S-RJ45-RNE-BR-15m,310102803,"外甩线_三代把枪底座网口定制线缆,10P10C转RJ45_M+DB9F,15m,黑",若ID3000无线款网口型号出货配置为15m线缆，订单中备注：删除：310102802，添加：310102803,H30B-U,0,H30B-LR
配件,一体线,ID5000有线-3mU口线缆,MV-IDA-H50P-N-S-RJ45-U-BR-3m,310103038,IDH5000P系列单U口线缆3米（无DC）,,H50P-U,1,H50P-U
配件,一体线,ID5000有线-3mU口线缆,MV-IDA-H50P-P-S-RJ45-U-BR-3M,310103039,IDH5000P系列单U口线缆3米（有DC）,若ID5000有线款USB型号出货配置为3m单U口线缆有DC，订单中备注：删除：310103038，添加：,H50P-U,0,H50P-U
配件,一体线,ID5000有线-3m网口线缆,MV-IDA-H50P-P-S-RJ45-RNE-BR-3m,310103040,IDH5000P系列网口串口复合线缆3米,,H50P-L,1,H50P-LR
配件,一体线,ID5000有线-3m网口线缆,MV-IDA-H50P-P-S-RJ45-RN-BR-3m,310103041,IDH5000P系列单串口线缆3米,若IDH5000有线款网口型号出货配置为3m串口线缆，订单中备注：删除：310103040，添加：310103041,H50P-L,0,H50P-LR
配件,一体线,ID7000有线-2.5mU口线缆,MV-IDA-H70-P-S-RJ45-U-BR-2.5m,310102804,"外甩线_二代把枪U口尾线,2.5m,黑",,H70P-U,1,H70P-U
配件,一体线,ID7000有线-3m串口线缆,MV-IDA-H70-P-S-RJ45-RN-ST-3m,310102805,"外甩线_二代把枪串口尾线,10P10C转DB9F(DC JACK),3m,黑色",若IDH7000有线款USB型号出货配置为3m串口线缆，订单中备注：删除：310102804，添加：310102805,H70P-U,0,H70P-R
配件,一体线,ID7000有线-2.5mU口线缆,MV-IDA-H70-P-C-RJ45-U-BR-2.5m,310102806,外甩线_二代把枪U口弹簧线，2.5m,若IDH7000有线款USB型号出货配置为2.5m弹簧线，订单中备注：删除：310102804，添加：310102806,H70P-U,0,H70P-C-U
配件,一体线,ID7000有线-3m网口线缆,MV-IDA-H70-P-S-RJ45-RNE-BR-3m,310102821,"外甩线_二代把枪网口+串口尾线,3m,黑色",,H70P-L,1,H70P-LR
配件,一体线,ID7000有线-3m网口线缆,MV-IDA-H70-P-C-RJ45-RNE-BR-3m,310102811,"外甩线_二代把枪网口+串口弹簧线, 3m",若IDH7000有线款网口型号出货配置为3m弹簧线，订单中备注：删除：310102821，添加：310102811,H70P-L,0,H70P-C-LR
配件,一体线,ID7000有线-5.75m网口线缆,MV-IDA-H70-P-C-RJ45-RNE-BR-5.75m,310102812,"外甩线_二代把枪网口+串口弹簧线, 5.75m",若IDH7000有线款网口型号出货配置为5.75m弹簧线，订单中备注：删除：310102821，添加：310102812,H70P-L,0,H70P-C-LR
配件,一体线,ID7000有线-5m网口线缆,MV-IDA-H70-P-S-RJ45-RNE-BR-5m,310102823,"外甩线_二代把枪网口+串口尾线,5m,黑色",若IDH7000有线款网口型号出货配置为5m网口线缆，订单中备注：删除：310102821，添加：310102823,H70P-L,0,H70P-LR
配件,一体线,ID7000有线-10m网口线缆,MV-IDA-H70-P-S-RJ45-RNE-BR-10m,310102824,"外甩线_二代把枪网口+串口尾线,10m,黑色",若IDH7000有线款网口型号出货配置为10m网口线缆，订单中备注：删除：310102821，添加：310102824,H70P-L,0,H70P-LR
配件,一体线,ID7000无线-2mU口线缆,MV-IDA-H70B-P-S-RJ45-U-ST-2.5m,310102813,"外甩线_无线把枪底座U口线缆,2.5m,黑",,H70B-U,1,H70B-U
配件,一体线,ID7000无线-3m网口线缆,MV-IDA-H70B-P-S-RJ45-RNE-ST-3m,310102814,"外甩线_无线把枪底座网口线缆,3m,黑",,H70B-L,1,H70B-LUR
配件,一体线,ID7000无线-8m网口线缆,MV-IDA-H70B-P-S-RJ45-RNE-BR-8m,310102815,"外甩线_无线把枪底座网口线缆,网口(8m)+串口(5m)",若IDH7000无线款网口型号出货配置为8m线缆，订单中备注：删除：310102814，添加：310102815,H70B-L,0,H70B-LR
配件,一体线,ID7000无线-10m网口线缆,MV-IDA-H70B-P-S-RJ45-RNE-ST-10m,310102816,"外甩线_无线把枪底座网口线缆,10m,黑",若IDH7000无线款网口型号出货配置为10m线缆，订单中备注：删除：310102814，添加：310102816,H70B-L,0,H70B-LUR
配件,一体线,ID7000无线-2.5m网口线缆,MV-IDA-H70B-P-S-RJ45-RNE-ST-2.5m,310102817,"外甩线_无线把枪底座复合线缆,2.5m",若IDH7000无线款网口型号出货配置为2.5m复合线缆，订单中备注：删除：310102814，添加：310102817,H70B-L,0,H70B-LUR
配件,一体线,ID9000-3m网口线缆,MV-IDA-HIP-P-S-RJ45-RPE-BR-3m,310102819,"10P10C转DB9F(DC-J)+RJ45M,3m,黑色",,H90-L,1,H90-LR
配件,一体线,ID9000-3mU口线缆,MV-IDA-HIP-P-S-RJ45-U-BR-3m,310102818,"10P10C 转USB-AM+DC-J,3m,黑色",,H90-U,1,H90-U
配件,IO电源线,7m普通IO线,MV-IDA-PE-Open10p-Open-ST-7m(全球通中性),310102111,10pin open线转10pin open线缆，7米，静态场景,,IDA,1,IDA
配件,IO电源线,3m普通IO线,智能读码套件外甩线,101521666,"TB3B6P+TB3B3P转DC/J+OPEN,3m,黑",,TB3B6P,1,
配件,IO电源线,3.5m普通IO线,读码相机供电线,101510808,"DC JACK to TB3B6P,3.5m,BK",,DTB3B6P,1,
